780	FN743-S	M2	53	76	1
781	FN744-S	M2	58	21	1
782	FN745-S	M2	54	70	1
783	FN747-S	M2	75	27	1
784	FN748-S	M2	56	41	1
785	FN750-S	M2	45	11	1
786	FN751-S	M2	56	14	1
787	FN752-S	M2	55	28	1
788	FN753-S	M2	58	20	1
789	FN754-S	M2	47	4	1
790	FN755-S	M2	60	15	1
791	FN756-S	M2	62	7	1
792	FN757-S	M2	43	16	1
793	FN758-S	M2	44	102	1
794	FN759-S	M2	53	40	1
795	FN760-S	M2	62	35	1
796	FN761-S	M2	42	7	1
797	FN762-S	M2	76	65	1
798	FN763-S	M2	40	8	1
799	FN764-S	M2	71	37	1
800	FN765-S	M2	66	61	1
801	FN767-S	M2	49	3	1
802	FN768-S	M2	69	14	1
803	FN769-S	M2	72	33	1
804	FN_769-4-1	M3	67	27	0
805	FN770-S	M2	77	49	1
806	FN_770-6-1	M3	60	50	1
807	FN771-S	M2	61	35	1
808	FN772-S	M2	87	14	1
809	FN_772-3-1	M3	55	18	1
810	FN773-S	M2	50	13	1
811	FN774-S	M2	65	13	1
812	FN775-S	M2	75	210	1
813	FN776-S	M2	63	10	1
814	FN_776-5-1	M3	58	17	1
815	FN777-S	M2	39	20	1
816	FN_777-2-1	M3	71	29	0
817	FN778-S	M2	76	29	1
818	FN779-S	M2	58	182	1
819	FN780-S	M2	70	163	1
820	FN781-S	M2	56	30	1
821	FN782-S	M2	55	66	1
822	FN783-S	M2	36	12	1
823	FN784-S	M2	43	153	1
824	FN785-S	M2	63	14	1
825	FN786-S	M2	78	164	1
826	FN_786-4-1	M3	64	8	1
827	FN788-S	M2	68	55	1
828	FN_788-1-1	M3	53	7	0
829	FN789-S	M2	61	151	1
830	FN_789-2-1	M3	58	53	1
831	FN_789-3-1	M3	87	45	0
832	FN790-S	M2	41	37	1
833	FN791-S	M2	58	14	1
